feedId,descr,trim_audio
10120,Brunswick County Fire and Rescue,False
10141,"Barbour County Police, Fire and EMS",False
10142,Sullivan and Surrounding Area Public Safety,False
10171,"St. Lawrence County Police, Fire, and EMS",True
10207,Dartmouth Fire - District 1,False
10232,Maricopa County Sheriff - West ,False
10239,California Highway Patrol - Los Angeles and Orange County Centers,False
10257,Prosper Fire and EMS,False
10277,"Clinton County Fire, EMS and Highway DOT",False
10280,Adair County Fire,False
10294,San Diego City and Poway Fire,True
10298,Floyd County Fire (SAFE-T),False
10314,Adams County and Hastings Fire / EMS,False
10341,"Mat-Su Borough Police, Fire and EMS Dispatch ",False
10380,Grayson County Law Enforcement and EMS,False
10387,Lancaster Police and Fire,False
10449,"Willmar Police, Fire and EMS",False
10489,Montgomery County Fire and EMS - East,False
10591,"Aurora Police, Fire and EMS Dispatch",True
10597,Nocona Fire and Police Dispatch,False
10622,Kent County Fire and EMS,False
10637,"Nez Perce and Asotin Counties Sheriff, Fire and EMS",True
10662,St-Georges de Beauce Fire and EMS,False
10670,Orange County Fire and EMS,False
10676,Granby and Windsor Public Safety,False
10717,Westport Fire,False
10729,"North Harris, Montgomery, Waller and Walker Counties Fire and EMS",False
10852,Crystal Lake Fire Rescue,False
10870,Franklin County Fire and EMS Dispatch,False
10892,North Comm Dispatch and LE Interop,True
10911,Eastern Upper Peninsula Public Safety,False
10948,Fairmont Police and Fire and Marion County Sheriff and EMS,False
10953,"Richland County Police, Fire, and EMS, Wilkin County Sheriff",False
10989,"Dare County Fire, EMS and Ocean Rescue",False
11148,"Columbus Division of Fire, Franklin County Fire and EMS",False
11208,Columbus Police Dispatch - Citywide,False
11237,Cheektowaga Depew Lackawanna Fire,False
11245,Haverhill Fire,False
11319,Roselle Park Fire & UCMA,False
11324,"Logan County Sheriff, Fire, and EMS, Sheriff, Sterling Police, State Patrol",False
11446,Cleveland Police and Metro Housing Authority,True
11466,Peoria County Fire - Digital,False
11549,"Shelter Island and Southold Police, Fire, EMS and Highway",False
11563,Point Pleasant Borough Fire 1 & Fire 3,True
11573,"Southern Berkshire County Police, Fire and EMS",False
11618,Tennessee Highway Patrol District 8,False
11697,Gippsland CFA / FRV / FFMV,False
11789,East Islip Fire,False
11797,"Farmington Police, Fire and EMS",False
11832,"Mingo and Pike Counties Sheriff, Fire, and EMS, Williamson Police and Fire",False
11880,"NSW Fire and Rescue - Albury, Wagga Wagga",False
11912,"Carver Fire, Police, and EMS, Plymouth Fire/EMS, Wareham and Plympton Fire",False
11923,Livingston County Fire and EMS Dispatch,False
11954,Oldham County Fire and EMS Dispatch,True
11979,Berlin Fire Dispatch,False
11995,San Diego CHP Orange/Blue and the RCS Law Mutual Aid,False
12004,El Paso County Fire and EMS,False
12032,Bowling Green Fire and Bowling Green State University Police,False
12137,"Summit County Sheriff, EMS and Park City Police",True
12145,Phoenix Police,False
12151,Osage County Fire and EMS,False
12156,Buncombe County Fire,False
12174,Monroe and Ontario Counties Fire - Digital,False
12199,Del Rio (TX) DPS,False
12208,Streator Fire,False
12261,Waukesha County Law Enforcement,True
12297,Tiverton Fire,False
12336,"Phillips County Law Enforcement, Fire, and EMS",False
12357,"Waterford Police, Fire, and EMS",False
12388,Pike County and Lackawaxen Fire and EMS,False
12411,"Saunders County Sheriff, Fire and EMS",False
12439,Benton County Sheriff and Camden Police,False
12466,Black Hawk County Fire and EMS,False
12477,Davidson County Fire,False
12495,"Logansport Police / Fire, Cass County Sheriff, Fire and EMS, Miami County Sheriff",False
12522,Adams County Fire and EMS - Digital,True
12623,Clinton County Public Safety,True
12637,Benton County Public Safety,False
12697,Trimble County Fire and EMS,False
12699,Vineland Fire,False
12765,Salem Police Dispatch,False
12829,Service d'incendie MRC Maskoutains,False
12830,"Hopkinton Police, Fire and DPW",False
12861, Mitchell County Fire ,False
12876,"North St. Louis County Sheriff, Fire and Roads",True
12911,Contra Costa County Fire Protection District,False
12947,Franklin County Fire Operations,False
12966,Groton Fire Dispatch,False
13008,Redwood County Public Safety,False
13058,Charlotte and Mecklenburg County Fire,False
13125,South Central Iowa Counties Public Safety,False
13160,Accomack County Public Safety,False
13177,Manteca Public Safety,False
13189,"Columbia County Sheriff and Fire, Hudson Police",False
13197,Robbinsville & Mercer County Fire and EMS,False
13203,Napa City and American Canyon Fire Dispatch,False
13209,"Cocke County Sheriff, Fire, and EMS, Newport Police and Fire",True
13241,"Cass County Public Safety, Iowa State Patrol",False
13249,Sunnyvale Fire,False
13254,"Edgefield County Sheriff, Fire and EMS",False
13323,Audrain County Missouri Public Safety,True
13353,"Tri-Boro, Park Ridge, Woodcliff Lake and Montvale Police Dispatch",False
13375,"Palmer Fire, Police and EMS",False
13376,Willimantic and Area Fire/Police,False
13383,Niagara County Fire Dispatch - Analog,False
13408,New Jersey Statewide Medevac,False
13416,Troy Fire Department,True
13434,Hamilton Township Fire,False
13449,"Caroline, Queen Anne's, and Talbot Counties Fire",False
13451,Morrow County Fire and EMS,False
13481,New Jersey State Police Troop C,True
13537,Mifflin County Law Enforcement,False
13549,"Fresno City Police, Fire and EMS",False
13550,Brimfield Fire Dispatch,False
13553,"Morgan County Fire, EMS and Mutual Aid",False
13618,Seneca County Fire and EMS,False
13632,Atlantic and Cape May Counties Fire and EMS - Southern,False
13671,Detroit Police Dispatch,False
13681,Guernsey County Sheriff and Ohio State Patrol Post 30,False
13705,Southwest Summit County Public Safety,True
