directional_tail_area,estimate,holm_adjusted_tail_area,holm_family,holm_family_size,lower,metric,population,record_id,record_type,relative_change_percent,two_sided_tail_area,upper
0.0037,0.03332375754093651,0.0148,fixed_p13_window_no_context_sft,3,0.00733990162776824,donor_null_copy_rate,main_primary_4098,window_r4_minus_r1_no_context_sft,contrast,,0.0074,0.06853016697187748
0.0107,0.8572249353634014,0.0428,fixed_p13_window_no_context_sft,3,0.12602950087368278,matched_excess_copy_rate,main_primary_4098,window_r4_minus_r1_no_context_sft,contrast,,0.0214,1.6489289286920923
0.0,-1.3475002638708062,0.0,fixed_p13_window_no_context_sft,3,-1.9291864236116067,wer,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,-5.77328911667168,0.0,-0.7646768045724286
0.0,-1.1088446475195823,0.0,fixed_p13_window_no_context_sft,3,-1.6205747045944887,cer,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0,-0.6339517975267772
0.0223,-0.3447911902332619,0.1338,fixed_p13_window_no_context_sft,3,-0.7219682934758149,insertions_per_100_reference_words,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0446,-0.0073391528018948516
0.0,4.056437389770721,0.0,fixed_p13_window_no_context_sft,3,2.151097253385749,keyword_occurrence_recall,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0,6.014637461197548
0.0046,1.0916403332375753,0.0276,fixed_p13_window_no_context_sft,3,0.2950558790567299,context_copy_rate,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0092,1.9826761819594914
0.0,1.717339341671119,0.0,fixed_p13_window_no_context_sft,3,1.0706718109085485,prior_only_token_rate,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0,2.304008738827872
0.0,-11.234938848039464,0.0,fixed_p13_window_no_context_sft,3,-19.47044491379433,realized_trigram_yield_per_1000,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0,-5.250041548572454
0.0024,0.08962941683424304,0.0144,fixed_p13_window_no_context_sft,3,0.01973191134553224,donor_null_copy_rate,main_primary_4098,window_r8_minus_r1_no_context_sft,contrast,,0.0048,0.20299083374998106
