analysis_id,analysis_status,dimension,stratum_id,row_count,source_cluster_count,target,record_type,record_id,metric,estimate,lower,upper,numerator,denominator,status,unit
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R8,context_copy_rate,2.2172949002217295,1.132852729145211,3.5847107966412337,20,902,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R8,prior_only_token_rate,7.786885245901639,6.18995070130722,9.375023107068914,247,3172,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,effect,R8_minus_R1,wer,-1.5227272727272734,-3.0867298480510503,0.04512463343108527,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,effect,R8_minus_R1,context_copy_rate,1.102467698438006,-0.11299754582406611,2.4357801427342802,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,effect,R8_minus_R1,prior_only_token_rate,3.849127227483094,2.4187717400644244,5.301944655822991,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R0,wer,38.86824807087739,35.59975912456796,42.04701234000728,2720,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R1,wer,38.62532152043441,35.12632819873356,42.34519293724472,2703,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R1,context_copy_rate,2.570379436964504,1.2304147370332763,4.1554959785522785,21,817,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R1,prior_only_token_rate,3.3971105037094884,2.272227562139942,4.809860392118219,174,5122,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R8,wer,37.19634181194627,33.78049885316108,40.70288213851442,2603,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R8,context_copy_rate,4.352941176470588,2.527310924369748,6.474009231920822,37,850,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,cell,R8,prior_only_token_rate,6.104199066874028,4.76365592656378,7.408894507168856,314,5144,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,effect,R8_minus_R1,wer,-1.4289797084881428,-2.7222149911019025,-0.17058053891394942,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,effect,R8_minus_R1,context_copy_rate,1.7825617395060838,-0.19699210669038403,3.9007921530585628,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,base,effect,R8_minus_R1,prior_only_token_rate,2.707088563164539,1.2036999845378051,4.02808197901431,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R0,wer,27.679336953415262,25.046547315899648,30.266139459102927,1937,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R1,wer,26.821949128322377,24.310774722195447,29.308075122672488,1877,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R1,context_copy_rate,1.5098722415795587,0.5868201009334697,2.659671062799442,13,861,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R1,prior_only_token_rate,2.061096797938903,1.267496597490763,3.062305791239407,112,5434,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R8,wer,25.32152043440983,22.978484543114448,27.6881751547154,1772,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R8,context_copy_rate,3.484320557491289,1.8427518427518428,5.414886729741852,30,861,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,cell,R8,prior_only_token_rate,4.597278411180581,3.4529053236408584,5.80724567018775,250,5438,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,effect,R8_minus_R1,wer,-1.5004286939125464,-2.56277836255208,-0.4293583321438222,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,effect,R8_minus_R1,context_copy_rate,1.9744483159117303,0.5347415091780127,3.6746254754934937,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,no_context_sft,effect,R8_minus_R1,prior_only_token_rate,2.5361816132416783,1.4193666118761221,3.578766135366288,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R0,wer,28.122320663046583,25.48132445756996,30.769286754002913,1968,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R1,wer,26.450414404115463,23.891068167319656,28.997606337323262,1851,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R1,context_copy_rate,1.6317016317016317,0.5694706790056753,2.983577482955592,14,858,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R1,prior_only_token_rate,2.0032780914223274,1.4154772752266194,2.6782998708026917,110,5491,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R8,wer,25.150042869391253,22.70959666063503,27.636551472212783,1760,6998,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R8,context_copy_rate,5.458768873403019,3.354018670733068,7.7451325600662795,47,861,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,cell,R8,prior_only_token_rate,5.886641151813377,4.615377515229832,7.152727800560166,323,5487,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,effect,R8_minus_R1,wer,-1.30037153472421,-2.4202432923754666,-0.15566271657380218,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,effect,R8_minus_R1,context_copy_rate,3.8270672417013873,2.016686636686634,5.806460669622307,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q3,1023,369,prior_context_sft,effect,R8_minus_R1,prior_only_token_rate,3.8833630603910496,2.7774398998790475,5.015052970065312,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R0,wer,21.607529794149514,19.654879568191625,23.854293292733413,3191,14768,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R1,wer,21.187703141928495,19.233172351220055,23.426037657297194,3129,14768,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R1,context_copy_rate,5.118110236220472,2.9947721744011977,7.875350427100182,39,762,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R1,prior_only_token_rate,1.4479068303430909,1.0177749791423107,1.9616726896593748,184,12708,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R8,wer,20.34127843986999,18.329177119744926,22.729886537474226,3004,14768,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R8,context_copy_rate,9.113924050632912,6.337189285250417,12.532325581395348,72,790,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,cell,R8,prior_only_token_rate,3.184361945298337,2.4706664028870313,3.8739658184106154,404,12687,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,effect,R8_minus_R1,wer,-0.8464247020585063,-1.4219684350120243,-0.20277281639529182,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,effect,R8_minus_R1,context_copy_rate,3.9958138144124398,2.123035961182132,6.128521104398674,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,base,effect,R8_minus_R1,prior_only_token_rate,1.736455114955246,1.1989090922892447,2.246046171113424,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,no_context_sft,cell,R0,wer,17.070693391115928,15.561987710095192,18.74502910894378,2521,14768,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,no_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q4,1025,435,no_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
